data,moeda_base,moeda_alvo,taxa
2024-10-26,USD,BRL,5.6739
2024-10-27,USD,BRL,5.6739
2024-10-28,USD,BRL,5.6896
2024-10-29,USD,BRL,5.7187
2024-10-30,USD,BRL,5.7849
2024-10-31,USD,BRL,5.7558
2024-11-01,USD,BRL,5.7706
2024-11-02,USD,BRL,5.7706
2024-11-03,USD,BRL,5.7706
2024-11-04,USD,BRL,5.8092
2024-11-05,USD,BRL,5.785
2024-11-06,USD,BRL,5.809
2024-11-07,USD,BRL,5.6549
2024-11-08,USD,BRL,5.7588
2024-11-09,USD,BRL,5.7588
2024-11-10,USD,BRL,5.7588
2024-11-11,USD,BRL,5.8095
2024-11-12,USD,BRL,5.7578
2024-11-13,USD,BRL,5.7419
2024-11-14,USD,BRL,5.8029
2024-11-15,USD,BRL,5.7956
2024-11-16,USD,BRL,5.7956
2024-11-17,USD,BRL,5.7956
2024-11-18,USD,BRL,5.7837
2024-11-19,USD,BRL,5.7867
2024-11-20,USD,BRL,5.7731
2024-11-21,USD,BRL,5.8215
2024-11-22,USD,BRL,5.809
2024-11-23,USD,BRL,5.809
2024-11-24,USD,BRL,5.809
2024-11-25,USD,BRL,5.8067
2024-11-26,USD,BRL,5.7979
2024-11-27,USD,BRL,5.8202
2024-11-28,USD,BRL,5.9658
2024-11-29,USD,BRL,6.0936
2024-11-30,USD,BRL,6.0936
2024-12-01,USD,BRL,6.0936
2024-12-02,USD,BRL,6.0267
2024-12-03,USD,BRL,6.0712
2024-12-04,USD,BRL,6.0496
2024-12-05,USD,BRL,5.998
2024-12-06,USD,BRL,6.0057
2024-12-07,USD,BRL,6.0057
2024-12-08,USD,BRL,6.0057
2024-12-09,USD,BRL,6.042
2024-12-10,USD,BRL,6.0617
2024-12-11,USD,BRL,6.037
2024-12-12,USD,BRL,5.9074
2024-12-13,USD,BRL,6.0355
2024-12-14,USD,BRL,6.0355
2024-12-15,USD,BRL,6.0355
2024-12-16,USD,BRL,6.039
2024-12-17,USD,BRL,6.1526
2024-12-18,USD,BRL,6.1494
2024-12-19,USD,BRL,6.2852
2024-12-20,USD,BRL,6.0802
2024-12-21,USD,BRL,6.0802
2024-12-22,USD,BRL,6.0802
2024-12-23,USD,BRL,6.1499
2024-12-24,USD,BRL,6.1937
2024-12-25,USD,BRL,6.1937
2024-12-26,USD,BRL,6.1937
2024-12-27,USD,BRL,6.1894
2024-12-28,USD,BRL,6.1894
2024-12-29,USD,BRL,6.1894
2024-12-30,USD,BRL,6.2007
2024-12-31,USD,BRL,6.1847
2025-01-01,USD,BRL,6.1847
2025-01-02,USD,BRL,6.2203
2025-01-03,USD,BRL,6.1635
2025-01-04,USD,BRL,6.1635
2025-01-05,USD,BRL,6.1635
2025-01-06,USD,BRL,6.1048
2025-01-07,USD,BRL,6.0747
2025-01-08,USD,BRL,6.1321
2025-01-09,USD,BRL,6.1127
2025-01-10,USD,BRL,6.0556
2025-01-11,USD,BRL,6.0556
2025-01-12,USD,BRL,6.0556
2025-01-13,USD,BRL,6.0903
2025-01-14,USD,BRL,6.0809
2025-01-15,USD,BRL,6.056
2025-01-16,USD,BRL,6.0343
2025-01-17,USD,BRL,6.0709
2025-01-18,USD,BRL,6.0709
2025-01-19,USD,BRL,6.0709
